title,description,skills
Data Analyst,"Looking for candidates with data analysis skills, SQL, Python, and Excel.",Data Analysis;SQL;Python;Excel
Web Developer,"Need a developer with experience in HTML, CSS, JavaScript, and React.",HTML;CSS;JavaScript;React
Electrical Engineer,"Responsible for circuit design, troubleshooting, and following safety protocols.",Circuits;Troubleshooting;Safety
Marketing Specialist,"Looking for someone with digital marketing, SEO, and social media management skills.",Digital Marketing;SEO;Social Media
Graphic Designer,"Must have skills in Photoshop, Illustrator, and UI/UX design.",Photoshop;Illustrator;UI/UX Design
Project Manager,"Experienced in project planning, team leadership, and Agile methodologies.",Project Planning;Team Leadership;Agile
Customer Support Representative,"Good communication skills and experience in handling customer queries.",Communication;Customer Service
Mobile App Developer,"Proficient in Android/iOS development, Flutter or React Native.",Android;iOS;Flutter;React Native
Data Scientist,"Looking for expertise in Python, machine learning, data modeling, and visualization.",Python;Machine Learning;Data Modeling;Visualization
Content Writer,"Skilled in creative writing, blog posts, copywriting, and research.",Creative Writing;Copywriting;Research
